Model,Accuracy,Precision,Sensitivity,F1,ROC-AUC
Swin,0.6536974474474474,0.6427225328920491,0.655106794014357,0.6094096018130979,0.8519546402921008
DenseNet121,0.6041604104104104,0.6275472344763686,0.6128224343830587,0.5906664538830207,0.8495427331073434
ConvNeXt,0.6195445445445446,0.6151148088471127,0.6334384513136014,0.589775218990736,0.818031785288658
ResNet101,0.5828453453453454,0.6066446892849822,0.5846450941048781,0.554305389146505,0.7678769427365078
EfficientNetV2,0.5591278778778779,0.5129901389887933,0.5650845181097282,0.49670897458179164,0.7899581752128805
